FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.253375338,0.791616261,0.748994350,0.829029381
0.254162916,0.792098880,0.749569714,0.829268277
0.254950495,0.792558193,0.750413239,0.829308927
0.255738074,0.793066502,0.750417352,0.829864264
0.256525653,0.793066502,0.750417352,0.829864264
0.257313231,0.793550551,0.751683474,0.830357134
0.258100810,0.793995917,0.752122223,0.830357134
0.258888389,0.793995917,0.752122223,0.830357134
0.259675968,0.794374883,0.753012061,0.830538392
0.260463546,0.794722438,0.754208744,0.830538392
0.261251125,0.794722438,0.754208744,0.830538392
0.262038704,0.795164645,0.754208744,0.830538392
0.262826283,0.795567751,0.755156934,0.830538392
0.263613861,0.795925558,0.755156934,0.831147552
0.264401440,0.795925558,0.755156934,0.831147552
0.265189019,0.796284080,0.756055355,0.831147552
0.265976598,0.796653092,0.756055355,0.831726551
0.266764176,0.796653092,0.756055355,0.831726551
0.267551755,0.796984196,0.756140351,0.831932783
0.268339334,0.797349513,0.756140351,0.831932783
0.269126913,0.797349513,0.756140351,0.831932783
0.269914491,0.797767401,0.757142842,0.832465291
0.270702070,0.798153937,0.758196712,0.832465291
0.271489649,0.798512340,0.758196712,0.832579195
0.272277228,0.798512340,0.758196712,0.832579195
0.273064806,0.798875093,0.758196712,0.833030879
0.273852385,0.799238265,0.759599328,0.833472133
0.274639964,0.799238265,0.759599328,0.833472133
0.275427543,0.799552798,0.760233939,0.833472133
0.276215122,0.799924552,0.761069357,0.833764017
0.277002700,0.799924552,0.761069357,0.833764017
0.277790279,0.800248563,0.761409104,0.833764017
0.278577858,0.800595522,0.761409104,0.834304750
0.279365437,0.800891399,0.762814939,0.834304750
0.280153015,0.800891399,0.762814939,0.834304750
0.280940594,0.801195085,0.763055325,0.834314525
0.281728173,0.801562548,0.763475478,0.834314525
0.282515752,0.801562548,0.763475478,0.834314525
0.283303330,0.801870525,0.764158905,0.834314525
0.284090909,0.802153766,0.764411032,0.834424675
0.284878488,0.802153766,0.764411032,0.834424675
0.285666067,0.802478611,0.764411032,0.835304081
0.286453645,0.802784443,0.764513493,0.835409224
0.287241224,0.803057015,0.766213000,0.835409224
0.288028803,0.803057015,0.766213000,0.835409224
0.288816382,0.803344131,0.766355157,0.836148620
0.289603960,0.803671896,0.766355157,0.836148620
0.290391539,0.803671896,0.766355157,0.836148620
0.291179118,0.803947866,0.766917288,0.836909890
0.291966697,0.804191709,0.768054366,0.836909890
0.292754275,0.804191709,0.768054366,0.836909890
0.293541854,0.804475367,0.768054366,0.837662339
0.294329433,0.804762959,0.768054366,0.837662339
0.295117012,0.805035412,0.768518507,0.837928176
0.295904590,0.805035412,0.768518507,0.837928176
0.296692169,0.805277348,0.769106984,0.838893414
0.297479748,0.805567384,0.769106984,0.838893414
0.298267327,0.805567384,0.769106984,0.838893414
0.299054905,0.805829108,0.769421458,0.838914037
0.299842484,0.806059837,0.769620240,0.839382946
0.300630063,0.806059837,0.769620240,0.839382946
0.301417642,0.806321681,0.769911528,0.839382946
0.302205221,0.806589603,0.770008445,0.839382946
0.302992799,0.806868553,0.770921409,0.840669036
0.303780378,0.806868553,0.770921409,0.840669036
0.304567957,0.807105184,0.771012008,0.841367245
0.305355536,0.807362914,0.771520495,0.841798484
0.306143114,0.807362914,0.771520495,0.841798484
0.306930693,0.807627559,0.771900833,0.842334509
0.307718272,0.807924211,0.772618115,0.842639565
0.308505851,0.807924211,0.772618115,0.842639565
0.309293429,0.808212936,0.772727251,0.842639565
0.310081008,0.808470547,0.772995770,0.844076633
0.310868587,0.808709323,0.772995770,0.844076633
0.311656166,0.808709323,0.772995770,0.844076633
0.312443744,0.808971941,0.773507774,0.844221115
0.313231323,0.809231222,0.773507774,0.844221115
0.314018902,0.809231222,0.773507774,0.844221115
0.314806481,0.809463501,0.773584902,0.844221115
0.315594059,0.809722900,0.773584902,0.844827592
0.316381638,0.809722900,0.773584902,0.844827592
0.317169217,0.809967995,0.774001718,0.844827592
0.317956796,0.810230613,0.774001718,0.845129073
0.318744374,0.810490012,0.774193525,0.845177650
0.319531953,0.810490012,0.774193525,0.845177650
0.320319532,0.810753882,0.775700927,0.845177650
0.321107111,0.811049223,0.775820673,0.846153855
0.321894689,0.811049223,0.775820673,0.846153855
0.322682268,0.811319470,0.775820673,0.846575320
0.323469847,0.811551154,0.775820673,0.846905529
0.324257426,0.811551154,0.775820673,0.846905529
0.325045005,0.811834216,0.776923060,0.846905529
0.325832583,0.812094212,0.776923060,0.847068846
0.326620162,0.812360823,0.776923060,0.847402573
0.327407741,0.812360823,0.776923060,0.847402573
0.328195320,0.812663674,0.776923060,0.847402573
0.328982898,0.812936306,0.777324617,0.847719848
0.329770477,0.812936306,0.777324617,0.847719848
0.330558056,0.813192844,0.777324617,0.847736597
0.331345635,0.813450217,0.777324617,0.848456502
0.332133213,0.813450217,0.777324617,0.848456502
0.332920792,0.813750207,0.777405858,0.848591566
0.333708371,0.814033329,0.778059065,0.848608851
0.334495950,0.814327300,0.778140306,0.849292278
0.335283528,0.814327300,0.778140306,0.849292278
0.336071107,0.814593494,0.778140306,0.849391937
0.336858686,0.814848781,0.778140306,0.850352108
0.337646265,0.814848781,0.778140306,0.850352108
0.338433843,0.815156639,0.779275477,0.850643754
0.339221422,0.815402269,0.779374480,0.850643754
0.340009001,0.815402269,0.779374480,0.850643754
0.340796580,0.815641105,0.779374480,0.850785315
0.341584158,0.815889239,0.779534101,0.850785315
0.342371737,0.816164732,0.780219793,0.850809872
0.343159316,0.816164732,0.780219793,0.850809872
0.343946895,0.816465795,0.780219793,0.851028800
0.344734473,0.816769540,0.780427635,0.851583719
0.345522052,0.816769540,0.780427635,0.851583719
0.346309631,0.817071438,0.780427635,0.852700472
0.347097210,0.817303479,0.780587256,0.852968037
0.347884788,0.817303479,0.780587256,0.852968037
0.348672367,0.817576647,0.781198025,0.853455424
0.349459946,0.817869127,0.781954885,0.853455424
0.350247525,0.818193614,0.782225788,0.853796422
0.351035104,0.818193614,0.782225788,0.853796422
0.351822682,0.818446100,0.782225788,0.853796422
0.352610261,0.818728209,0.782278478,0.855120718
0.353397840,0.818728209,0.782278478,0.855120718
0.354185419,0.818994105,0.782797575,0.855120718
0.354972997,0.819265604,0.782797575,0.855120718
0.355760576,0.819265604,0.782797575,0.855120718
0.356548155,0.819555581,0.782861888,0.855203629
0.357335734,0.819846869,0.783026397,0.856331170
0.358123312,0.820172966,0.783026397,0.856792152
0.358910891,0.820172966,0.783026397,0.856792152
0.359698470,0.820456862,0.783122361,0.856875598
0.360486049,0.820745826,0.783876479,0.857024133
0.361273627,0.820745826,0.783876479,0.857024133
0.362061206,0.821051657,0.784137368,0.857890129
0.362848785,0.821385741,0.784461141,0.858686626
0.363636364,0.821385741,0.784461141,0.858686626
0.364423942,0.821649075,0.784525812,0.858746469
0.365211521,0.821923971,0.784525812,0.858746469
0.365999100,0.822282195,0.784627676,0.858884990
0.366786679,0.822282195,0.784627676,0.858884990
0.367574257,0.822575688,0.784627676,0.859300494
0.368361836,0.822897136,0.784946263,0.860633492
0.369149415,0.822897136,0.784946263,0.860633492
0.369936994,0.823156774,0.786982238,0.860890329
0.370724572,0.823436379,0.786982238,0.860890329
0.371512151,0.823436379,0.786982238,0.860890329
0.372299730,0.823782980,0.786982238,0.860915482
0.373087309,0.824098885,0.787141621,0.861180365
0.373874887,0.824416757,0.787141621,0.861209989
0.374662466,0.824416757,0.787141621,0.861209989
0.375450045,0.824752867,0.787928224,0.861209989
0.376237624,0.825088322,0.788672864,0.861209989
0.377025203,0.825088322,0.788672864,0.861209989
0.377812781,0.825367630,0.788672864,0.862443447
0.378600360,0.825672269,0.789043307,0.862660944
0.379387939,0.825672269,0.789043307,0.862660944
0.380175518,0.826028645,0.789748073,0.862660944
0.380963096,0.826332629,0.789748073,0.862660944
0.381750675,0.826332629,0.789748073,0.862660944
0.382538254,0.826655984,0.789748073,0.862660944
0.383325833,0.827011347,0.790909111,0.862861991
0.384113411,0.827280045,0.790909111,0.863001764
0.384900990,0.827280045,0.790909111,0.863001764
0.385688569,0.827594221,0.791631818,0.863874316
0.386476148,0.827883124,0.791631818,0.863874316
0.387263726,0.827883124,0.791631818,0.863874316
0.388051305,0.828151822,0.791735530,0.863874316
0.388838884,0.828438461,0.792020380,0.864771724
0.389626463,0.828438461,0.792020380,0.864771724
0.390414041,0.828734398,0.792054117,0.864771724
0.391201620,0.829029322,0.792054117,0.864910781
0.391989199,0.829337120,0.792054117,0.865417361
0.392776778,0.829337120,0.792054117,0.865417361
0.393564356,0.829629183,0.792054117,0.865417361
0.394351935,0.829898536,0.792869270,0.866494417
0.395139514,0.829898536,0.792869270,0.866494417
0.395927093,0.830157459,0.792899430,0.866494417
0.396714671,0.830493271,0.793415666,0.866494417
0.397502250,0.830493271,0.793415666,0.866494417
0.398289829,0.830779076,0.794214904,0.867219925
0.399077408,0.831111610,0.794214904,0.868067205
0.399864986,0.831386328,0.794238687,0.868101001
0.400652565,0.831386328,0.794238687,0.868101001
0.401440144,0.831647456,0.794238687,0.868669510
0.402227723,0.831904948,0.794567049,0.868669510
0.403015302,0.831904948,0.794567049,0.868669510
0.403802880,0.832145870,0.794567049,0.868669510
0.404590459,0.832421958,0.795256913,0.868712723
0.405378038,0.832421958,0.795256913,0.868712723
0.406165617,0.832711160,0.795256913,0.869009614
0.406953195,0.832972109,0.795415938,0.869009614
0.407740774,0.833226562,0.795867741,0.869009614
0.408528353,0.833226562,0.795867741,0.869009614
0.409315932,0.833431005,0.795884788,0.869067132
0.410103510,0.833727002,0.795884788,0.869217098
0.410891089,0.833727002,0.795884788,0.869217098
0.411678668,0.833991528,0.795884788,0.869217098
0.412466247,0.834290683,0.795884788,0.869217098
0.413253825,0.834290683,0.795884788,0.869217098
0.414041404,0.834574580,0.796280622,0.869406402
0.414828983,0.834876537,0.796698511,0.869406402
0.415616562,0.835109949,0.797520638,0.869406402
0.416404140,0.835109949,0.797520638,0.869406402
0.417191719,0.835349262,0.797520638,0.869406402
0.417979298,0.835607231,0.798811555,0.869406402
0.418766877,0.835607231,0.798811555,0.869406402
0.419554455,0.835897923,0.798816562,0.869406402
0.420342034,0.836167753,0.799173534,0.870108247
0.421129613,0.836167753,0.799173534,0.870108247
0.421917192,0.836394787,0.800951600,0.870319664
0.422704770,0.836677969,0.800951600,0.870319664
0.423492349,0.836948633,0.800951600,0.870386243
0.424279928,0.836948633,0.800951600,0.870386243
0.425067507,0.837196887,0.801358223,0.870429277
0.425855086,0.837466300,0.801358223,0.870598614
0.426642664,0.837466300,0.801358223,0.870598614
0.427430243,0.837727606,0.801358223,0.871165633
0.428217822,0.837996542,0.801358223,0.871165633
0.429005401,0.837996542,0.801358223,0.871165633
0.429792979,0.838260591,0.801358223,0.871165633
0.430580558,0.838481307,0.801358223,0.871224165
0.431368137,0.838715494,0.801744640,0.871244609
0.432155716,0.838715494,0.801744640,0.871244609
0.432943294,0.838986814,0.803030312,0.871662378
0.433730873,0.839220941,0.803030312,0.871662378
0.434518452,0.839220941,0.803030312,0.871662378
0.435306031,0.839470804,0.803030312,0.871662378
0.436093609,0.839709699,0.803030312,0.871842861
0.436881188,0.839709699,0.803030312,0.871842861
0.437668767,0.839922011,0.803030312,0.872019053
0.438456346,0.840146840,0.803330719,0.872019053
0.439243924,0.840394676,0.803330719,0.872042060
0.440031503,0.840394676,0.803330719,0.872042060
0.440819082,0.840602934,0.803330719,0.872102976
0.441606661,0.840835631,0.805579007,0.872500002
0.442394239,0.840835631,0.805579007,0.872500002
0.443181818,0.841057360,0.805932224,0.872832358
0.443969397,0.841265023,0.806105614,0.872961402
0.444756976,0.841265023,0.806105614,0.872961402
0.445544554,0.841516137,0.806105614,0.873029053
0.446332133,0.841728568,0.806105614,0.873059332
0.447119712,0.841945231,0.807114601,0.873438776
0.447907291,0.841945231,0.807114601,0.873438776
0.448694869,0.842159033,0.807114601,0.873449147
0.449482448,0.842358410,0.807114601,0.873449147
0.450270027,0.842358410,0.807114601,0.873449147
0.451057606,0.842566252,0.807269633,0.873713732
0.451845185,0.842746675,0.807852983,0.873794913
0.452632763,0.842746675,0.807852983,0.873794913
0.453420342,0.842954338,0.807852983,0.873794913
0.454207921,0.843131483,0.807852983,0.874049008
0.454995500,0.843295991,0.807852983,0.874049008
0.455783078,0.843295991,0.807852983,0.874049008
0.456570657,0.843493283,0.807852983,0.874166667
0.457358236,0.843645513,0.807852983,0.874451280
0.458145815,0.843645513,0.807852983,0.874451280
0.458933393,0.843837917,0.807905138,0.874451280
0.459720972,0.843981147,0.809282720,0.874649227
0.460508551,0.843981147,0.809282720,0.874649227
0.461296130,0.844164193,0.809282720,0.875103414
0.462083708,0.844342649,0.809282720,0.875103414
0.462871287,0.844552517,0.810126603,0.875584662
0.463658866,0.844552517,0.810126603,0.875584662
0.464446445,0.844740748,0.810126603,0.875613749
0.465234023,0.844903469,0.810126603,0.875613749
0.466021602,0.844903469,0.810126603,0.875613749
0.466809181,0.845076025,0.810587287,0.875880301
0.467596760,0.845215559,0.810587287,0.875936747
0.468384338,0.845215559,0.810587287,0.875936747
0.469171917,0.845386088,0.810587287,0.875936747
0.469959496,0.845555067,0.810587287,0.876432061
0.470747075,0.845707357,0.810699582,0.876470566
0.471534653,0.845707357,0.810699582,0.876470566
0.472322232,0.845835865,0.810970485,0.876470566
0.473109811,0.845981061,0.810970485,0.876757622
0.473897390,0.845981061,0.810970485,0.876757622
0.474684968,0.846156240,0.811414421,0.876757622
0.475472547,0.846332610,0.811414421,0.876757622
0.476260126,0.846332610,0.811414421,0.876757622
0.477047705,0.846490026,0.811418712,0.876757622
0.477835284,0.846657276,0.811522663,0.876757622
0.478622862,0.846795797,0.811522663,0.876757622
0.479410441,0.846795797,0.811522663,0.876757622
0.480198020,0.846949339,0.812345684,0.876757622
0.480985599,0.847123027,0.812393904,0.876936316
0.481773177,0.847123027,0.812393904,0.876936316
0.482560756,0.847272336,0.812393904,0.877085149
0.483348335,0.847420633,0.813354790,0.877085149
0.484135914,0.847420633,0.813354790,0.877085149
0.484923492,0.847543359,0.813354790,0.877221346
0.485711071,0.847687006,0.813354790,0.877224207
0.486498650,0.847828925,0.814032137,0.877224207
0.487286229,0.847828925,0.814032137,0.877224207
0.488073807,0.847969115,0.814814806,0.877640843
0.488861386,0.848115742,0.814814806,0.877640843
0.489648965,0.848115742,0.814814806,0.877640843
0.490436544,0.848247349,0.815371752,0.877640843
0.491224122,0.848410904,0.815637887,0.877640843
0.492011701,0.848410904,0.815637887,0.877640843
0.492799280,0.848561525,0.815789461,0.877750635
0.493586859,0.848739088,0.815789461,0.877750635
0.494374437,0.848865151,0.815789461,0.877796888
0.495162016,0.848865151,0.815789461,0.877796888
0.495949595,0.848981857,0.816396236,0.878090382
0.496737174,0.849136472,0.816482604,0.878838181
0.497524752,0.849136472,0.816482604,0.878838181
0.498312331,0.849281013,0.816611826,0.878838181
0.499099910,0.849412084,0.816611826,0.878895819
0.499887489,0.849412084,0.816611826,0.878895819
0.500675068,0.849582374,0.816812038,0.879046023
0.501462646,0.849753559,0.816877663,0.879046023
0.502250225,0.849753559,0.816877663,0.879046023
0.503037804,0.849919617,0.816901386,0.879795372
0.503825383,0.850083232,0.816901386,0.879929900
0.504612961,0.850238502,0.816901386,0.879929900
0.505400540,0.850238502,0.816901386,0.879929900
0.506188119,0.850371122,0.816901386,0.879929900
0.506975698,0.850471973,0.818181813,0.879929900
0.507763276,0.850471973,0.818181813,0.879929900
0.508550855,0.850611091,0.818181813,0.879929900
0.509338434,0.850756824,0.818565428,0.879929900
0.510126013,0.850756824,0.818565428,0.879929900
0.510913591,0.850890756,0.819204152,0.880191684
0.511701170,0.851051033,0.819685698,0.880191684
0.512488749,0.851207912,0.819753110,0.880452335
0.513276328,0.851207912,0.819753110,0.880452335
0.514063906,0.851339757,0.819753110,0.880452335
0.514851485,0.851479888,0.819753110,0.880452335
0.515639064,0.851479888,0.819753110,0.880452335
0.516426643,0.851649642,0.820934236,0.880647898
0.517214221,0.851820827,0.821025193,0.880647898
0.518001800,0.851820827,0.821025193,0.880647898
0.518789379,0.851950824,0.821043909,0.880647898
0.519576958,0.852065861,0.821043909,0.880647898
0.520364536,0.852186918,0.821043909,0.880647898
0.521152115,0.852186918,0.821043909,0.880647898
0.521939694,0.852332413,0.821043909,0.880647898
0.522727273,0.852471054,0.821548820,0.880647898
0.523514851,0.852471054,0.821548820,0.880647898
0.524302430,0.852594435,0.821548820,0.881474972
0.525090009,0.852719009,0.821548820,0.881474972
0.525877588,0.852719009,0.821548820,0.881474972
0.526665167,0.852856696,0.821548820,0.881474972
0.527452745,0.852994502,0.821731746,0.881474972
0.528240324,0.853125751,0.821731746,0.881474972
0.529027903,0.853125751,0.821731746,0.881474972
0.529815482,0.853230894,0.821731746,0.881474972
0.530603060,0.853357673,0.822567463,0.881558001
0.531390639,0.853357673,0.822567463,0.881558001
0.532178218,0.853527725,0.822567463,0.881915748
0.532965797,0.853652716,0.822567463,0.881915748
0.533753375,0.853652716,0.822567463,0.881915748
0.534540954,0.853770077,0.822567463,0.882067859
0.535328533,0.853914082,0.822580636,0.882453144
0.536116112,0.854049325,0.822580636,0.882453144
0.536903690,0.854049325,0.822580636,0.882453144
0.537691269,0.854186177,0.822580636,0.882859588
0.538478848,0.854315639,0.822700918,0.883230925
0.539266427,0.854315639,0.822700918,0.883230925
0.540054005,0.854439795,0.822700918,0.883230925
0.540841584,0.854561567,0.823529422,0.883386552
0.541629163,0.854561567,0.823529422,0.883386552
0.542416742,0.854699194,0.823529422,0.883430481
0.543204320,0.854804456,0.823529422,0.883430481
0.543991899,0.854934573,0.823529422,0.883430481
0.544779478,0.854934573,0.823529422,0.883430481
0.545567057,0.855041146,0.823684216,0.884108841
0.546354635,0.855169535,0.824394464,0.884341657
0.547142214,0.855169535,0.824394464,0.884341657
0.547929793,0.855301619,0.824394464,0.884341657
0.548717372,0.855440557,0.824394464,0.884341657
0.549504950,0.855440557,0.824394464,0.884341657
0.550292529,0.855558336,0.824394464,0.884341657
0.551080108,0.855693400,0.824978769,0.884341657
0.551867687,0.855801046,0.824978769,0.884341657
0.552655266,0.855801046,0.824978769,0.884341657
0.553442844,0.855916679,0.824978769,0.884341657
0.554230423,0.856015861,0.825141013,0.884341657
0.555018002,0.856015861,0.825141013,0.884341657
0.555805581,0.856151223,0.825141013,0.884366333
0.556593159,0.856289029,0.825828373,0.884366333
0.557380738,0.856289029,0.825828373,0.884366333
0.558168317,0.856416881,0.825866461,0.884366333
0.558955896,0.856553078,0.825976253,0.884491086
0.559743474,0.856679916,0.826328337,0.885067880
0.560531053,0.856679916,0.826328337,0.885067880
0.561318632,0.856793940,0.826328337,0.885067880
0.562106211,0.856914163,0.826677978,0.885067880
0.562893789,0.856914163,0.826677978,0.885067880
0.563681368,0.857034147,0.827121317,0.885129094
0.564468947,0.857161283,0.827441096,0.885129094
0.565256526,0.857161283,0.827441096,0.885129094
0.566044104,0.857283950,0.827441096,0.885443568
0.566831683,0.857415259,0.827791989,0.885443568
0.567619262,0.857527673,0.827791989,0.885547221
0.568406841,0.857527673,0.827791989,0.885547221
0.569194419,0.857655764,0.827848077,0.886106610
0.569981998,0.857776582,0.827848077,0.886877835
0.570769577,0.857776582,0.827848077,0.886877835
0.571557156,0.857921779,0.828125000,0.886910081
0.572344734,0.858039677,0.828125000,0.886934698
0.573132313,0.858039677,0.828125000,0.886934698
0.573919892,0.858166993,0.828522921,0.886934698
0.574707471,0.858285606,0.828828812,0.886934698
0.575495050,0.858413815,0.829124570,0.887070358
0.576282628,0.858413815,0.829124570,0.887070358
0.577070207,0.858507931,0.829124570,0.887070358
0.577857786,0.858617544,0.829124570,0.887671232
0.578645365,0.858617544,0.829124570,0.887671232
0.579432943,0.858728707,0.829124570,0.887722135
